NO,국문,영문,학명,관리현황,분류군,학명-수정,특성
296,미국들고구마,,Ipomoea pandurata</em> G.Mey.,유입주의 생물,식물,Ipomoea pandurata,"Ipomoea pandurata, known as man of the earth, wild potato vine, manroot, wild sweet potato, and wild rhubarb, is a species of herbaceous perennial vine native to North America. It is a twining plant of woodland verges and rough places with heart-shaped leaves and funnel-shaped white flowers with a pinkish throat. The large tuberous roots can be roasted and eaten, or can be used to make a poultice or infusion. When uncooked, the roots have purgative properties."
297,비와강준치,Wataka,Ischikauia steenackeri</em>,유입주의 생물,어류,Ischikauia steenackeri,Ischikauia steenackeri is a species of cyprinid fish endemic to Lake Biwa in Japan. This species was originally described as Opsariichthys steenackeri. This species is the only member of its genus.
298,미국독돼지풀,Povertyweed,Iva axillaris</em> Pursh,유입주의 생물,식물,Iva axillaris,"Povertyweed is a common name for several plants and may refer to:

Baccharis neglecta
Iva axillaris
Monolepis nuttalliana"
299,멕시코산호유동,Physic nut,Jatropha curcas</em> L.,유입주의 생물,식물,Jatropha curcas,"Jatropha curcas is a species of flowering plant in the spurge family, Euphorbiaceae, that is native to the American tropics, most likely Mexico and Central America. It is originally native to the tropical areas of the Americas from Mexico to Argentina, and has been spread throughout the world in tropical and subtropical regions around the world, becoming naturalized or invasive in many areas. The specific epithet, ""curcas"", was first used by Portuguese doc Garcia de Orta more than 400 years ago."
300,롱테일드워프망둑,Longtail dwarf goby,Knipowitschia longecaudata</em>,유입주의 생물,어류,Knipowitschia longecaudata,"The longtail dwarf goby (Knipowitschia longecaudata) is a species of goby native to the Black Sea, Sea of Azov, and the Caspian Sea where it is mostly found in areas of brackish water over sand or amongst weeds where it feeds on small invertebrates.  This species can reach a length of 5 centimetres (2.0 in) TL.


== References =="
301,큰입술잉어,Roho labeo,Labeo rohita</em>,유입주의 생물,어류,Labeo rohita,"The rohu, rui, ruhi or roho labeo (Labeo rohita) is a species of fish of the carp family, found in rivers in South Asia. It is a large omnivore and extensively used in aquaculture."
302,캐나다왕고들빼기,,Lactuca canadensis</em> L.,유입주의 생물,식물,Lactuca canadensis,"Lactuca canadensis is a species of wild lettuce known by the common names Canada lettuce, Canada wild lettuce, and tall lettuce. Its true native range is not clear, but it is considered to be a native of the eastern and central parts of North America. It naturalized in the western part of the continent as well as in Eurasia.Generally, Lactuca canadensis is a biennial herb in the daisy family growing from a taproot to maximum heights of 50–200 cm (19.5–78.5 in) or more. The leaves are deeply lobe"
303,미국왕고들빼기,Blue lettuce,Lactuca pulchella</em>,유입주의 생물,식물,Lactuca pulchella,"Blue lettuce, wild blue lettuce, or common blue lettuce can refer to:

Cicerbita alpina (synonym Lactuca alpina), tall blue lettuce or alpine sow-thistle, native to upland and mountainous parts of Europe
Lactuca biennis, tall blue lettuce or blue wood lettuce, native to the eastern half of the United States and Canada
Lactuca canadensis, Florida blue lettuce or Canada blue lettuce, considered to be a native to parts of North America and introduced elsewhere
Lactuca perennis, blue lettuce, native"
304,타타리아왕고들빼기,,Lactuca tatarica</em> C.A.Mey.,유입주의 생물,식물,Lactuca tatarica,"Lactuca tatarica, known as blue lettuce, is a Eurasian flowering plant in the tribe Cichorieae within the family Asteraceae. It is widespread across much of Europe and Asia.Lactuca tatarica is an herb up to 60 cm (2 feet) tall with a large taproot. Most of the leaves are near the base of the plant and are larger than leaves farther up the stem. Each flower head has about 20 blue or purple (rarely white) ray flowers and no disc flowers.Some authors have placed the North American species Lactuca p"
305,무지개도마뱀,Delicate skink,Lampropholis delicata</em>,유입주의 생물,파충류,Lampropholis delicata,"Lampropholis delicata, the delicate skink, dark-flecked garden sun skink, garden skink, delicate garden skink, rainbow skink or  plague skink, or the metallic skink is native to Australia and invasive in New Zealand and Hawaii where it is commonly found in gardens. The species is known for their color dimorphism between males and females; striped morphs and non-striped morphs exist in this species, however the stripe is less pronounced in males. This species' diet consists of a wide range of pre"
306,점개구리밥,"Dotted duckmeat, Dotted duckweed",Landoltia punctata</em> (G. Mey) Les &amp; D.J. Crawford,"외래생물, 유입주의 생물",식물,Landoltia punctata,"Spirodela punctata (or Landoltia punctata, common name dotted duckmeat) is a species of duckweed (Lemnoideae).  The species is morphologically intermediate between Lemna and other species of Spirodela.  In 1999 D.H. Les and D.J. Crawford proposed segregating the species to a new genus Landoltia containing just the species L. punctata, on the basis of biochemical and DNA studies.
S. punctata originally was found in Australia and South Asia, but today it can also be found in the Southern and Easte"
307,처진줄기란타나,Weeping lantana,Lantana montevidensis</em> Briq.,유입주의 생물,식물,Lantana montevidensis,"Lantana montevidensis is a species of lantana known by many common names, such as: trailing lantana, weeping lantana, creeping lantana, small lantana, purple lantana or trailing shrubverbena.
This lantana  is native to South America."
308,바라문디농어,Barramundi,Lates calcarifer</em>,"외래생물, 유입주의 생물",어류,Lates calcarifer,"The barramundi (Lates calcarifer), Asian sea bass, or giant sea perch, is a species of catadromous fish in the family Latidae of the order Perciformes. The species is widely distributed in the Indo-West Pacific, spanning the waters of the Middle East, South Asia, Southeast Asia, East Asia, and Oceania."
309,나일농어,Nile perch,Lates niloticus</em>,"외래생물, 유입주의 생물",어류,Lates niloticus,"The Nile perch (Lates niloticus), also known as the African snook, Goliath perch, African barramundi, Goliath barramundi, Giant lates or the Victoria perch, is a species of freshwater fish in family Latidae of order Perciformes. It is widespread throughout much of the Afrotropical realm, being native to the Congo, Nile, Senegal, Niger and Lake Chad, Volta, Lake Turkana, and other river basins. It also occurs in the brackish waters of Lake Maryut in Egypt. The Nile perch is a fish of substantial "
310,파라과이과부거미,Black widow spider,Latrodectus antheratus</em>,유입주의 생물,무척추동물,Latrodectus antheratus,"Latrodectus is a broadly distributed genus of spiders with several species that are commonly known as the true widows. This group is composed of those often loosely called black widow spiders, brown widow spiders, and similar spiders. However, the diversity of species is much greater. A member of the family Theridiidae, this genus contains 34 species, which include several North American ""black widows"" (southern black widow Latrodectus mactans, western black widow Latrodectus hesperus, and north"
311,갈라파고스과부거미,Galapagos black widow,Latrodectus apicalis</em>,유입주의 생물,무척추동물,Latrodectus apicalis,"Latrodectus apicalis, known as the Galapagos black widow, is endemic to the Galápagos Islands. Like many black widow spiders, it has a red or orange hourglass-shaped spot on the underside of the abdomen. It is venomous and sometimes hard to find.


== References =="
312,플로리다붉은점과부거미,Red widow spider,Latrodectus bishopi</em>,유입주의 생물,무척추동물,Latrodectus bishopi,"Latrodectus bishopi is the scientific name for the red widow spider, which is endemic to certain habitats of central and southern Florida, where it lives primarily in sand dunes dominated by sand pine, Pinus clausa – a type of vegetation found only in peninsular Florida."
313,검은발과부거미,"Black widow button spiders, African black widow spider",Latrodectus cinctus</em>,유입주의 생물,무척추동물,Latrodectus cinctus,"Latrodectus cinctus is a species of spider in the family Theridiidae, found in Cape Verde Islands, Africa, Kuwait and Iran. It is one of six species of Latrodectus found in southern Africa, four of which, including L. cinctus, are known as black button or black widow spiders. Like all Latrodectus species, L. cinctus has a neurotoxic venom. It acts on nerve endings, causing the very unpleasant symptoms of latrodectism when humans are bitten.


== References =="
314,아르헨붉은줄과부거미,,Latrodectus corallinus</em>,유입주의 생물,무척추동물,Latrodectus corallinus,"Latrodectus corallinus is a species of widow spider native to Argentina. It is approximately 12 millimetres (0.47 in) in size, and is primarily black with large, red markings on its abdomen, as well as a red, square-like ring under its abdomen."
315,남미과부거미,Northern black-widow spider,Latrodectus curacaviensis</em>,유입주의 생물,무척추동물,Latrodectus curacaviensis,"Latrodectus curacaviensis is a species of black widow spider, that belongs to the genus Latrodectus. It is known as the South American black widow, Brazilian black widow or Araña del trigo."
316,검은배과부거미,"Dahl&apos;s widow, Moroccan black widow",Latrodectus dahli</em>,유입주의 생물,무척추동물,Latrodectus dahli,
317,아르헨티나흰줄과부거미,,Latrodectus diaguita</em>,유입주의 생물,무척추동물,Latrodectus diaguita,
318,붉은불짜과부거미,Black widow spide,Latrodectus elegans</em>,유입주의 생물,무척추동물,Latrodectus elegans,"Latrodectus elegans is a species of black widow spider, found in South Asia, Southeast Asia and East Asia. It was first collected by the Swedish arachnologist Tamerlan Thorell in the Karen Hills in Myanmar, but is also found in Thailand, India, Nepal, Vietnam, China and Japan. As of July 2022, the World Spider Catalog lists only India, Nepal, Myanmar, China and Japan. This species has been recorded in India and Nepal only since 2012, and Indochina in 2015, which is thought to reflect historical "
319,검붉은과부거미,Widow spide,Latrodectus erythromelas</em>,유입주의 생물,무척추동물,Latrodectus erythromelas,"Latrodectus erythromelas, is a species of venomous spider of the genus Latrodectus, commonly called widow spiders. It is native to India and Sri Lanka."
320,갈색과부거미,Brown button spider,Latrodectus geometricus</em>,유입주의 생물,무척추동물,Latrodectus geometricus,"Button spider is a common name used in Southern Africa to refer to local members of the spider genus, Latrodectus, the family Theridiidae. There are both black and brown button spiders in Southern Africa, that are known elsewhere as widow spiders. Seven Latrodectus species can be found in Southern Africa; six of them are native, one is possibly imported."
321,붉은등줄과부거미,Redback spider,Latrodectus hasseltii</em>,유입주의 생물,무척추동물,Latrodectus hasseltii,"The redback spider (Latrodectus hasselti), also known as the Australian black widow,  is a species of highly venomous spider believed to originate in South Australia or adjacent Western Australian deserts, but now found throughout Australia, Southeast Asia and New Zealand, with colonies elsewhere outside Australia. It is a member of the cosmopolitan genus Latrodectus, the widow spiders. The adult female is easily recognised by her spherical black body with a prominent red stripe on the upper sid"
322,붉은배과부거미,Western black widow spider,Latrodectus hesperus</em>,유입주의 생물,무척추동물,Latrodectus hesperus,"Latrodectus hesperus, the western black widow spider or western widow, is a venomous spider species found in western regions of North America. The female's body is 14–16 mm (1/2 in) in length and is black, often with an hourglass-shaped red mark on the lower abdomen. This ""hourglass"" mark can be yellow, and on rare occasions, white. The male of the species is around half this length and generally a tan color with lighter striping on the abdomen. The population was previously described as a subsp"
323,가시과부거미,Spiny widow,Latrodectus hystrix</em>,유입주의 생물,무척추동물,Latrodectus hystrix,"Latrodectus hystrix is a species of spider in the family Theridiidae.It is native to mainland Yemen and Socotra.


== References =="
324,아프리카검은과부거미,"Black button, Black widow spider",Latrodectus indistinctus</em>,유입주의 생물,무척추동물,Latrodectus indistinctus,"Latrodectus indistinctus is a species of spider in the family Theridiidae, found in Namibia and South Africa. It is one of six species of Latrodectus found in southern Africa, four of which, including L. indistinctus, are known as black button or black widow spiders. Like all Latrodectus species, L. indistinctus has a neurotoxic venom. It acts on nerve endings, causing the very unpleasant symptoms of latrodectism when humans are bitten."
325,남아프리카검은과부거미,"Black button, Black widow spider",Latrodectus karrooensis</em>,유입주의 생물,무척추동물,Latrodectus karrooensis,"Latrodectus karrooensis is a species of spider in the family Theridiidae, found in South Africa. It is one of six species of Latrodectus found in southern Africa, four of which, including L. karrooensis, are known as black button or black widow spiders. Like all Latrodectus species, L. karrooensis has a neurotoxic venom. It acts on nerve endings, causing the very unpleasant symptoms of latrodectism when humans are bitten.


== References =="
326,뉴질랜드과부거미,"Katipo, New Zealand redback",Latrodectus katipo</em>,유입주의 생물,무척추동물,Latrodectus katipo,"The katipō (Latrodectus katipo) is an endangered species of spider native to New Zealand. It is one of many species in the genus Latrodectus, such as the Australian redback (L. hasseltii), and the North American black widow. The species is venomous to humans, capable of delivering a potentially dangerous bite. It is a small to medium-sized spider, with the female having a round black or brown pea-sized body. Red katipō females found in the South Island and the lower half of the North Island, are"
327,검은띠과부거미,Black widow spider,Latrodectus lilianae</em>,유입주의 생물,무척추동물,Latrodectus lilianae,"Latrodectus is a broadly distributed genus of spiders with several species that are commonly known as the true widows. This group is composed of those often loosely called black widow spiders, brown widow spiders, and similar spiders. However, the diversity of species is much greater. A member of the family Theridiidae, this genus contains 34 species, which include several North American ""black widows"" (southern black widow Latrodectus mactans, western black widow Latrodectus hesperus, and north"
328,검은과부거미,"Southern black widow, Black widow spider",Latrodectus mactans</em>,유입주의 생물,무척추동물,Latrodectus mactans,"Latrodectus mactans, known as southern black widow or simply black widow, and the shoe-button spider, is a venomous species of spider in the genus Latrodectus. The females are well known for their distinctive black and red coloring and for the fact that they will occasionally eat their mates after reproduction. The species is native to North America. The venom can cause pain and other symptoms, but is rarely fatal to healthy humans."
329,마다가스카르검은과부거미,Madagascan black widow,Latrodectus menavodi</em>,유입주의 생물,무척추동물,Latrodectus menavodi,
330,아르헨티나불짜과부거미,"Flax spider, Black widow",Latrodectus mirabilis</em>,유입주의 생물,무척추동물,Latrodectus mirabilis,
331,마다가스카르갈색과부거미,,Latrodectus obscurior</em>,유입주의 생물,무척추동물,Latrodectus obscurior,
332,흰배과부거미,"Pale widow, White widow",Latrodectus pallidus</em>,유입주의 생물,무척추동물,Latrodectus pallidus,"Latrodectus pallidus is a species of spider commonly found throughout North Africa, the Middle East, and central Asia. A common name in English is the white widow spider, and it is known in Russian as белый каракурт, or white steppe spider. It is a member of the genus Latrodectus, which includes species known as widow spiders, which is placed in the family Theridiidae. It occurs both in the steppes of southern Russia, Kazakhstan, and other southwest Asian countries, as well as in the desert regi"
333,아르헨붉은점과부거미,,Latrodectus quartus</em>,유입주의 생물,무척추동물,Latrodectus quartus,
334,콩팥과부거미,Black brown button spider,Latrodectus renivulvatus</em>,유입주의 생물,무척추동물,Latrodectus renivulvatus,"Latrodectus renivulvatus is a species of spider in the family Theridiidae, found in Africa, Saudi Arabia and Yemen. It is one of six species of Latrodectus found in southern Africa, four of which, including L. renivulvatus, are known as black button or black widow spiders. Like all Latrodectus species, L. renivulvatus has a neurotoxic venom. It acts on nerve endings, causing the very unpleasant symptoms of latrodectism when humans are bitten.


== References =="
335,이스라엘과부거미,,Latrodectus revivensis</em>,유입주의 생물,무척추동물,Latrodectus revivensis,"Latrodectus revivensis, also known as the desert widow, is a species of venomous spider belonging to the Latrodectus genus and located in the Negev desert and the Arava valley (Arabah).As with most members of its genus, it contains venom that can cause latrodectism through bites in various organisms. It has been reported that its potency is around the same relative strength to that found in Latrodectus tredecimguttatus. Several adaptations are found L. revivensis which enables it to take advanta"
336,남아프리카갈색과부거미,"Brown button, Zimbabwean buttons spider",Latrodectus rhodesiensis</em>,유입주의 생물,무척추동물,Latrodectus rhodesiensis,"Latrodectus rhodesiensis is a species of spider in the family Theridiidae, found in southern Africa. It is one of six species of Latrodectus found in southern Africa, two of which, including L. rhodesiensis, are known as brown button or brown widow spiders. Like all Latrodectus species, L. rhodesiensis has a neurotoxic venom. It acts on nerve endings, causing the very unpleasant symptoms of latrodectism when humans are bitten, although brown button spiders are not generally as venomous as black "
337,칠레과부거미,,Latrodectus thoracicus</em>,유입주의 생물,무척추동물,Latrodectus thoracicus,
338,붉은점과부거미,Mediterranean black widow,Latrodectus tredecimguttatus</em>,유입주의 생물,무척추동물,Latrodectus tredecimguttatus,"Latrodectus tredecimguttatus, also known as the Mediterranean black widow or the European black widow, is a species in the genus Latrodectus of the widow spiders. It is commonly found throughout the Mediterranean region, ranging from southern Iberia to southwest and central Asia, hence the name. Specimens from central Asia are also known by the binomial name Latrodectus lugubris; that name, however, is now considered improper, though it is still commonly found in the literature. Latrodectus tred"
339,얼룩과부거미,,Latrodectus variegatus</em>,유입주의 생물,무척추동물,Latrodectus variegatus,
340,북미흰줄과부거미,"Northern black widow spider, Northern widow",Latrodectus variolus</em>,유입주의 생물,무척추동물,Latrodectus variolus,"Latrodectus variolus, the northern black widow spider or northern widow, is a venomous species of spider in the genus Latrodectus of the family Theridiidae. The population is closely related to the southern black widow, Latrodectus mactans, and the western black widow, Latrodectus hesperus, of the genus.In North America, the species is commonly found in Middle Atlantic states (New Jersey, Delaware, Maryland). During the April–May mating season, it can travel north along the coast as far as Massa"
341,둥근열매다닥냉이,"Hairy whitetop, Tall whitetop",Lepidium appelianum</em> Al-Shehbaz,유입주의 생물,식물,Lepidium appelianum,
342,붉은가슴블루길,Lepomis auritus,Lepomis auritus</em>,"외래생물, 유입주의 생물",어류,Lepomis auritus,"The redbreast sunfish (Lepomis auritus) is a species of freshwater fish in the sunfish family (family Centrarchidae) of order Perciformes. The type species of its genus, it is native to the river systems of eastern Canada and the United States.  The redbreast sunfish reaches a maximum recorded length of about 30 centimetres (12 in).
The species prefers vegetated and rocky pools and lake margins for its habitat. Its diet can include insects, snails, and other small invertebrates.  A panfish popul"
343,초록블루길,Green sunfish,Lepomis cyanellus</em>,유입주의 생물,어류,Lepomis cyanellus,"The green sunfish (Lepomis cyanellus) is a species of aggressive freshwater fish in the sunfish family (Centrarchidae) of order Perciformes. A panfish popular with anglers, the green sunfish is also kept as an aquarium fish by hobbyists, they need a 55-75 gallon tank and can be fed minnows, mealworms, or nightcrawlers. They are usually caught by accident, while fishing for other game fish. Green sunfish can be caught with live bait such as nightcrawlers, waxworms, mealworms, and blood worms. Gro"
344,황점블루길,Orangespotted sunfish,Lepomis humilis</em>,유입주의 생물,어류,Lepomis humilis,"The orangespotted sunfish (Lepomis humilis) is a North American species of freshwater fish in the sunfish family (Centrarchidae) of order Perciformes. These fish are widely distributed across the middle and eastern United States, from the Rocky Mountains to the east, from the Great Lakes south into the Gulf Coast. The orangespotted sunfish is ecologically unique and thrives in turbid, shallow systems that have few predators and low oxygen contents. The species prefers vegetated areas in sluggish"
345,긴귀블루길,Longear sunfish,Lepomis megalotis</em>,유입주의 생물,어류,Lepomis megalotis,"The longear sunfish (Lepomis megalotis) is a freshwater fish in the sunfish family, Centrarchidae, of order Perciformes. It is native to the area of eastern North America stretching from the Great Lakes down to northeastern Mexico. The longear sunfish reaches a maximum recorded length of about 24 cm (9.4 in), with a maximum recorded weight of 790 g (1.74 lb). Most do not live beyond six years. The longear sunfish is quite colorful, with an olive to rusty-brown back, bright orange belly and blue-"
346,붉은귀블루길,Redear sunfish,Lepomis microlophus</em>,유입주의 생물,어류,Lepomis microlophus,"The redear sunfish (Lepomis microlophus), also known as the shellcracker, Georgia bream, cherry gill, chinquapin, improved bream, rouge ear sunfish and sun perch) is a freshwater fish in the family Centrarchidae and is native to the southeastern United States. Since it is a popular sport fish, it has been introduced to bodies of water all over North America. It is known for its diet of mollusks and snails."
347,북미사막토끼,Black-tailed jackrabbit,Lepus californicus</em>,유입주의 생물,포유류,Lepus californicus,"The black-tailed jackrabbit (Lepus californicus), also known as the American desert hare, is a common hare of the western United States and Mexico, where it is found at elevations from sea level up to 10,000 ft (3,000 m). Reaching a length around 2 ft (61 cm), and a weight from 3 to 6 lb (1.4 to 2.7 kg), the black-tailed jackrabbit is one of the largest North American hares. Black-tailed jackrabbits occupy mixed shrub-grassland terrains. Their breeding depends on the location; it typically peaks"
348,케이프멧토끼,"Cape hare, Desert hare",Lepus capensis</em>,유입주의 생물,포유류,Lepus capensis,"The Cape hare (Lepus capensis), also called the brown hare and the desert hare, is a hare native to Africa and Arabia extending into India."
349,유럽토끼,,Lepus europaeus</em>,유입주의 생물,포유류,Lepus europaeus,"The European hare (Lepus europaeus), also known as the brown hare, is a species of hare native to Europe and parts of Asia. It is among the largest hare species and is adapted to temperate, open country. Hares are herbivorous and feed mainly on grasses and herbs, supplementing these with twigs, buds, bark and field crops, particularly in winter. Their natural predators include large birds of prey, canids and felids. They rely on high-speed endurance running to escape predation, having long, powe"
350,선블릭유럽갈겨니,,Leucaspius delineatus</em>,유입주의 생물,어류,Leucaspius delineatus,"Leucaspius delineatus, known as the sunbleak, belica or moderlieschen is a species of freshwater fish in the family Cyprinidae. It is currently the only species included in genus Leucaspius, whereas formerly others were included, which now have been moved to Ladigesocypris or Pseudophoxinus or merged with L. delineatus."
351,금빛황어,Ide,Leuciscus idus</em>,"외래생물, 유입주의 생물",어류,Leuciscus idus,"IDE, iDE, or Ide may refer to:"
352,유럽야레,Common dace,Leuciscus leuciscus</em>,유입주의 생물,어류,Leuciscus leuciscus,The common dace (Leuciscus leuciscus) is a species of freshwater and brackish water ray-finned fish from the family Cyprinidae which is native to Europe but which has been introduced to other parts of the world. It is a quarry species for coarse anglers.
353,쿨개울개구리,,Limnonectes kuhlii</em>,유입주의 생물,양서류,Limnonectes kuhlii,Kuhl's creek frog or large-headed frog (Limnonectes kuhlii) is a species of frog in the family Dicroglossidae.
354,일본퉁가리,Reddish bullhead,Liobagrus reini</em>,유입주의 생물,어류,Liobagrus reini,
355,그린벨개구리,"Golden tree frog, Green and golden bell frog",Litoria aurea</em>,유입주의 생물,양서류,Litoria aurea,"The green and golden bell frog (Ranoidea aurea), also named the green bell frog, green and golden swamp frog and green frog, is a species of ground-dwelling tree frog native to eastern Australia. Despite its classification and climbing abilities, it does not live in trees and spends almost all of its time close to ground level. It can reach up to 11 cm (4.5 in) in length, making it one of Australia's largest frogs.
Coloured gold and green, the frogs are voracious eaters of insects, but will also"
356,염소울음청개구리,Bleating Tree Frog,Litoria dentata</em>,유입주의 생물,양서류,Litoria dentata,"The bleating tree frog of Australia has been split into three distinct species:

Screaming tree frog (Litoria quiritatus), from northeastern Victoria to mid-coast New South Wales
Robust bleating tree frog (Litoria dentata sensu stricto), from northeastern New South Wales to the NSW/Queensland border
Slender bleating tree frog (Litoria balatus) from southeastern Queensland"
357,호주남부갈색청개구리,Southern brown tree frog,Litoria ewingii</em>,유입주의 생물,양서류,Litoria ewingii,"The southern brown tree frog (Litoria ewingii), also known as the brown tree frog, whistling tree frog, or Ewing's tree frog, is a species of tree frog native to Australia: most of southern Victoria, eastern South Australia, southern New South Wales from about Ulladulla—although this species is reported to occur further north—and throughout Tasmania including the Bass Strait Islands, in which state it is the most frequently encountered frog. It has been introduced to New Zealand, where it can be"
358,호주남부종개구리,Growling grass frog,Litoria raniformis</em>,유입주의 생물,양서류,Litoria raniformis,"The growling grass frog (Ranoidea raniformis), also commonly known as the southern bell frog, warty swamp frog and erroneously as the green frog, is a species of ground-dwelling tree frog native to southeastern Australia, ranging from southern South Australia along the Murray River though Victoria to New South Wales, with populations through Tasmania. This species' common names vary between states; the name southern bell frog applies in New South Wales and South Australia, growling grass frog in"
359,페르시아호밀풀,"Persian darnel, Persian ryegrass",Lolium persicum</em> Boiss. &amp; Hohen.,유입주의 생물,식물,Lolium persicum,"Lolium persicum is a species of flowering plant in the family Poaceae. It is referred to by the common names Persian darnel or Persian ryegrass, and is an annual grass. It has an upright stem, branching from a reddish base, up to 45 cm tall. Its leaves are lower surface glossy, dark green, 6 mm wide."
360,남미갈색실거미,Brazilian brown spider,Loxosceles intermedia</em>,유입주의 생물,무척추동물,Loxosceles intermedia,"Loxosceles intermedia, the Brazilian brown recluse spider, is a highly venomous spider species in the family Sicariidae native to Brazil and Argentina."
361,날개여뀌바늘,,Ludwigia decurrens</em> Walter,유입주의 생물,식물,Ludwigia decurrens,"Ludwigia decurrens is a species of flowering plant in the evening primrose family known by the common names willow primrose and wingleaf primrose-willow. It is native to the central and eastern United States.This species is an annual herb that reaches up to 6 feet (1.8 m) tall, sometimes growing as a perennial by virtue of its partially woody stem. It has an erect form and a winged stem that is angled. The plant is glabrous.  The linear leaves are alternately arranged. The sessile leaves are dec"
362,큰물달맞이꽃,,Ludwigia grandiflora</em> (Michx.) Greuter &amp; Burdet,유입주의 생물,식물,Ludwigia grandiflora,"Ludwigia grandiflora, the water primrose, is an aquatic plant of the order Myrtales.It is closely related and easily confused with Ludwigia hexapetala. The two species can be distinguished at a chromosomal level, because L. grandiflora is hexaploid and L. hexapetala is decaploid. However, they can be distinguished morphologically. L. grandiflora has villous hairs, smaller flowers and smaller pollen grains. Some authorities consider that these differences are too slight to consider these differen"
363,아프리카구기자,African boxthorn fruit,Lycium ferocissimum</em> Miers,유입주의 생물,식물,Lycium ferocissimum,"Lycium ferocissimum, the African boxthorn or boxthorn, is a shrub in the nightshade family (Solanaceae) indigenous to South Africa."
364,인도늑대뱀,,Lycodon aulicus</em>,유입주의 생물,파충류,Lycodon aulicus,"Lycodon aulicus, commonly known as the Indian wolf snake or common wolf snake, is a species of nonvenomous snake found in South Asia and Southeast Asia. Early naturalists have suggested its resemblance to the venomous common krait as an instance of Batesian mimicry."
365,유럽부처꽃,,Lythrum hyssopifolia</em> L.,유입주의 생물,식물,Lythrum hyssopifolia,"Lythrum hyssopifolia (orth. var. L. hyssopifolium) is a species of flowering plant in the loosestrife family known by the common names hyssop loosestrife and grass-poly. It is native to Europe but it is known elsewhere, including parts of Australia and eastern and western North America, as an introduced species and sometimes a weed. It is rare in the United Kingdom, with occasional isolated populations. It often grows in moist habitats, such as marshes and wet agricultural fields, rice paddies, "
366,호주민물대구,Murray cod,Maccullochella peelii</em>,유입주의 생물,어류,Maccullochella peelii,"The Murray cod (Maccullochella peelii) is a large Australian predatory freshwater fish of the genus Maccullochella in the family Percichthyidae. Although the species is called a cod in the vernacular, it is not related to the Northern Hemisphere marine cod (Gadus) species. The Murray cod is an important part of Australia's vertebrate wildlife—as an apex predator in the Murray-Darling River system—and also significant in Australia's human culture. The Murray cod is the largest exclusively freshwa"
367,연갈색왈라비,"Agile wallaby, Sandy wallaby",Macropus agilis</em>,유입주의 생물,포유류,Macropus agilis,"The agile wallaby (Notamacropus agilis), also known as the sandy wallaby, is a species of wallaby found in northern Australia and southern New Guinea. It is the most common wallaby in north Australia. The agile wallaby is a sandy colour, becoming paler below. It is sometimes solitary and at other times sociable and grazes on grasses and other plants. The agile wallaby is not considered threatened."
368,캥거루섬캥거루,"Western grey kangaroo, Sooty kangaroo, Mallee kangaroo, Black-faced kangaroo",Macropus fuliginosus fuliginosus</em>,유입주의 생물,포유류,Macropus fuliginosus fuliginosus,
369,태즈메이니아캥거루,"Eastern grey kangaroo, Great grey kangaroo, Forester kangaroo",Macropus giganteus tasmaniensis</em>,유입주의 생물,포유류,Macropus giganteus tasmaniensis,
370,파르마왈라비,Parma kangaroo,Macropus parma</em>,유입주의 생물,포유류,Macropus parma,"The parma wallaby (Notamacropus parma) is a small, hopping, kangaroo-like mammal native to forests of southeastern Australia. About the size of a stout cat, it lives in dense shrub and is only active at night to feed on grasses and small plants. It is the smallest of the wallabies (short, kangaroo-like animals of the genus Notamacropus) and carries its young in a pouch like other marsupials. Shy and elusive, it was believed extinct until rediscovery in the 1960s. It is threatened by habitat loss"
371,베넷왈라비,Bennett’s wallaby,Macropus rufogriseus rufogriseus</em>,유입주의 생물,포유류,Macropus rufogriseus rufogriseus,
372,동양붉은턱큰실젖거미,Giant japanese funnel–web spider,Macrothele gigas</em>,유입주의 생물,무척추동물,Macrothele gigas,
373,대만검은큰실젖거미,Primitive funnel-web builder,Macrothele holsti</em>,유입주의 생물,무척추동물,Macrothele holsti,
374,대만빗살큰실젖거미,Funnel-web spider,Macrothele taiwanensis</em>,유입주의 생물,무척추동물,Macrothele taiwanensis,"Funnel-web spider refers to many different species of spider, particularly those that spin a web in the shape of a funnel:

spiders in the family Agelenidae, including
Hololena curta
funnel-web tarantulas (suborder Mygalomorphae):
family Atracidae, Australian funnel-web spiders, some of which produce venom dangerous to humans, including
Sydney funnel-web spider (Atrax robustus)
family Dipluridae
family Hexathelidae
family Nemesiidae
family Macrothelidae, sole genus Macrothele
family Mecicobothri"
375,아프리카구릿빛채송화,,Malephora crocea</em> (Jacq.) Schwantes,유입주의 생물,식물,Malephora crocea,Malephora crocea is a species of flowering plant in the ice plant family known by the common name coppery mesemb and red ice plant. It is native to Africa and it is grown in many other places as an ornamental plant and a groundcover. In California and Baja California this is an introduced species and often a noxious weed in coastal habitat such as beaches and bluffs. It is planted along highways in California and in Arizona it is utilized in landscaping for its low water needs and tolerance of s
376,아메리카노랑아욱,,Malvastrum coromandelianum</em> (L.) Garcke,유입주의 생물,식물,Malvastrum coromandelianum,"Malvastrum coromandelianum, also known as threelobe false mallow, is an annual or perennial herb or shrub native to North and South America. It has been introduced to many other areas of the world including Australia, Africa, and southern and eastern Asia.


== References =="
